M,Nbus,S,bias_scale,epochs,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,0.0,60,256,2,0.001,4,W24,6.478770387686894,0.01959187847872575,0.0,True,True,0.011988342803140933,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,0.0,60,256,2,0.001,4,W24,6.840798588227897,0.025248170519868534,0.001,True,True,0.012056278285330556,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,3.0,60,256,2,0.001,4,W24,6.222517627136081,0.020739395792285602,0.0,True,True,0.01220404615036607,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,3.0,60,256,2,0.001,4,W24,6.472698207219146,0.018736273050308228,0.001,True,True,0.010626108067244235,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,0.0,60,256,2,0.0003,4,W24,7.88938872410651,0.023773941521843273,0.0,True,True,0.015552370477411332,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,0.0,60,256,2,0.0003,4,W24,7.767801253892135,0.02354467163483302,0.001,True,True,0.013292230616295428,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,3.0,60,256,2,0.0003,4,W24,8.09876205440212,0.02529473106066386,0.0,True,True,0.014732394579120657,0.0001,0.0001,8.339422773738265,0.0959823802113533
72,33,66,3.0,60,256,2,0.0003,4,W24,7.9807274209210135,0.027152790998419125,0.001,True,True,0.0154384899916212,0.0001,0.0001,8.339422773738265,0.0959823802113533
