M,Nbus,S,bias_scale,epochs,gnn_dropout,gnn_hidden,gnn_layers,gnn_type,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_gnn,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,1.179593786702742,0.01930686365813017,0.01,False,True,False,0.0006993206916376948,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.8098130546495108,0.016540946904569864,0.01,True,True,False,0.0005786175606772304,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.8151262214522668,0.016060952562838793,0.01,False,True,True,0.0005815853364765644,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.5600652399768642,0.013725228141993284,0.01,True,True,True,0.00046643742825835943,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,6.229767944087852,0.022144894115626812,0.01,False,False,False,0.01419128105044365,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.5822884223288565,0.016870226711034775,0.01,True,False,False,0.011368945240974426,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,6.6154817465665765,0.022365719079971313,0.01,False,False,True,0.013846414163708687,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.936262335734533,0.019993160851299763,0.01,True,False,True,0.011960656382143497,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.7089920186611445,0.01602628082036972,0.01,False,True,False,0.0003420576103962958,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.7316742231211105,0.015967481769621372,0.01,True,True,False,0.0003598655457608402,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.827962201295557,0.015718138311058283,0.01,False,True,True,0.0004343911714386195,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.66112826743309,0.015314198099076748,0.01,True,True,True,0.0003233001916669309,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,6.777682517655101,0.022896007634699345,0.01,False,False,False,0.013362024910748005,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,5.861873251380043,0.018482830375432968,0.01,True,False,False,0.012790859676897526,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,6.667941441373683,0.021549156866967678,0.01,False,False,True,0.01290364284068346,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,5.4136553205894735,0.01845303177833557,0.01,True,False,True,0.012121581472456455,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.8826966692613947,0.01763984002172947,0.01,False,True,False,0.000692579080350697,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.8207652896640527,0.014470636378973722,0.01,True,True,False,0.0006476534763351083,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.917003588884458,0.020513365045189857,0.01,False,True,True,0.0007776374695822597,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.6383432899704564,0.01338191656395793,0.01,True,True,True,0.0005152194644324481,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.22300755091342,0.01978840958327055,0.001,False,False,False,0.012794183567166328,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,5.754448249557495,0.017414814792573452,0.001,True,False,False,0.01302093081176281,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.226411759884437,0.018122957088053226,0.001,False,False,True,0.012868490070104599,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.107680233664578,0.02113392297178507,0.001,True,False,True,0.01193095464259386,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.9281026996465815,0.01417460571974516,0.001,False,True,False,0.00042666311492212117,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.8570334607546883,0.012171621434390545,0.001,True,True,False,0.0003140769840683788,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.8889213194728034,0.011919889599084854,0.001,False,True,True,0.0003784199070651084,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.7222520038415043,0.011898135300725698,0.001,True,True,True,0.0002798419736791402,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.542248244842289,0.0224216403439641,0.001,False,False,False,0.011023103259503841,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,5.575430485515341,0.0190432146191597,0.001,True,False,False,0.011769426055252552,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.651087309266442,0.023112724535167217,0.001,False,False,True,0.014834515750408173,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,5.795933751359094,0.01760926190763712,0.001,True,False,True,0.011271961033344269,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.2452957242066218,0.024825595319271088,0.001,False,True,False,0.000873223936650902,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.3500447326175538,0.03070115391165018,0.001,True,True,False,0.0012285523116588593,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,2.3274631589797727,0.02289598062634468,0.001,False,True,True,0.001665077288635075,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.4149171756632475,0.029282432049512863,0.001,True,True,True,0.0012037345441058278,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.245562543100094,0.019642607308924198,0.001,False,False,False,0.012861630879342556,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,5.819625756599164,0.01822686195373535,0.001,True,False,False,0.013350795954465866,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,7.1594864637208175,0.025975223630666733,0.001,False,False,True,0.014694719575345516,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.393986182302468,0.021311630494892597,0.001,True,False,True,0.013494664803147316,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.7108421995134245,0.0142552531324327,0.001,False,True,False,0.00022264053404796869,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6593370503232542,0.014922729693353176,0.001,True,True,False,0.00019920688646379858,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.7651897479349514,0.01235890993848443,0.001,False,True,True,0.0002000695385504514,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6336627961199994,0.012279961723834276,0.001,True,True,True,0.00018842339341063052,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,6.557853519548475,0.020520536229014397,0.001,False,False,False,0.011628287844359875,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.81245256386677,0.021218085661530495,0.001,True,False,False,0.01160596776753664,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,6.1737586853464546,0.01914971135556698,0.001,False,False,True,0.01688098907470703,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.678184918606071,0.020015736110508442,0.001,True,False,True,0.010895132087171078,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.9193411144061892,0.016311156563460827,0.001,False,True,False,0.0004901262582279742,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.8603825746450953,0.016485339030623436,0.001,True,True,False,0.0004872846184298396,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,1.090812159745713,0.016645457595586777,0.001,False,True,True,0.00046518872841261327,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,0.6301498910916443,0.014279399532824755,0.001,True,True,True,0.0004568624426610768,0.0001,0.0001,7.7133693419621885,0.09075134247541428
