Scenario,Attack Level,Model,VM_RMSE (pu),VA_RMSE (deg)
Bad Data 10% (10σ),"(0.1, 10.0)",WLS,1.1782651245594025,96.90245819091797
Bad Data 15% (10σ),"(0.15, 10.0)",WLS,0.7610686421394348,96.63094838460286
Bad Data 5% (10σ),"(0.05, 10.0)",WLS,0.8033732175827026,96.3577651977539
Clean,0.0,WLS,0.8944373925526937,96.77938588460286
Missing 10%,0.1,WLS,5073.973991394043,97.7611083984375
Missing 30%,0.3,WLS,inf,99.67720286051433
Missing 50%,0.5,WLS,1572.1097822586696,101.5660883585612
