M,Nbus,S,bias_scale,epochs,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,0.0,60,256,2,0.001,4,W96,5.774328368910463,0.018906311132013798,0.0,True,True,0.012450158596038818,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.001,4,W96,5.457293612640097,0.01920061744749546,0.001,True,True,0.011649233289062977,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,5.402125961270492,0.01997609343379736,0.0,True,True,0.01114166434854269,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,5.871698691944518,0.01843192521482706,0.001,True,True,0.010290022939443588,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,6.850111124274386,0.021829289384186268,0.0,True,True,0.017475251108407974,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,6.928329169988903,0.022546891123056412,0.001,True,True,0.018711399286985397,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,6.807634177826076,0.022897264920175076,0.0,True,True,0.018009208142757416,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,7.064360071272523,0.02368214726448059,0.001,True,True,0.01657705195248127,0.0001,0.0001,7.7133693419621885,0.09075134247541428
