M,Nbus,S,bias_scale,epochs,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,0.0,60,256,2,0.001,4,W96,6.213901841532735,0.02129854168742895,0.0,False,False,0.01536470465362072,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.001,4,W96,6.241716933153966,0.021449691615998745,0.001,False,False,0.013293281197547913,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,6.628255267531559,0.020578915253281593,0.0,False,False,0.01481749676167965,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,6.472987992224244,0.02030341885983944,0.001,False,False,0.01239212416112423,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,7.032375362606411,0.025051262229681015,0.0,False,False,0.018404200673103333,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,7.7434605941243255,0.023860085755586624,0.001,False,False,0.017821714282035828,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,7.092584547357131,0.02429633680731058,0.0,False,False,0.016826510429382324,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,7.241514474331732,0.022956601344048977,0.001,False,False,0.018652306869626045,0.0001,0.0001,7.7133693419621885,0.09075134247541428
