M,Nbus,S,bias_scale,epochs,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,0.0,60,256,2,0.001,4,W96,5.6529228236305435,0.019577665254473686,0.0,True,False,0.012350897304713726,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.001,4,W96,5.455767492247421,0.02006350364536047,0.001,True,False,0.01161813735961914,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,5.312538638795666,0.01881442777812481,0.0,True,False,0.010853366926312447,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.001,4,W96,5.603995830728215,0.018451504409313202,0.001,True,False,0.012434190139174461,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,6.961666256110677,0.023732340894639492,0.0,True,False,0.019702132791280746,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,0.0,60,256,2,0.0003,4,W96,7.141313678216941,0.019459446892142296,0.001,True,False,0.017566556110978127,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,6.953291376971183,0.01987295877188444,0.0,True,False,0.01599285751581192,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,3.0,60,256,2,0.0003,4,W96,6.880405788007742,0.020375636406242847,0.001,True,False,0.017905376851558685,0.0001,0.0001,7.7133693419621885,0.09075134247541428
